en,cht,pos,description
Cyclops,獨眼巨人語,语言,
Cylinder,柱形,術語,法術範圍
Cynosure,北極星,地點,黛絲娜的宮殿，星星一般懸掛在北天的夜空
Cypher Magic,密文魔法,術語,專長
Cypher Script,密文抄錄,術語,專長
Cyphergate,密文之門,地點,謎語港
Cyphermage,密文法師,稱號,進階職業；密文隱休會成員
Cyremium,塞勒密姆,城市,安多安
Cyrusian,塞魯西安,地區,瑟西隆
Cyth-V’sug,希斯-威瑟格,神祇,惡魔領主
Czarny Las,黑林鎮,地點,精怪之霜
D domain spell,D為領域法術,術語,牧師數據專有
d’ziriaks,影界蟻族,,
Dabril,達波里奧,城市,伽爾特
Daemon,邪魔,術語,異界生物、生物亞種
Daemon Subdomain,邪魔子域,術語,牧師領域
"daemon, derghodaemon",異蟲邪魔,怪物,B2
"Daemon, Lapsudaemon",墜亡邪魔,怪物,AP#106
"daemon, leukodaemon",疫病邪魔,怪物,B2
"Daemon, suspiridaemon",終息邪魔,怪物,B6
"daemon, Thanadaemon",死疫邪魔,怪物,B2
Dagger,匕首,武器,CRB
Dagger Keep,匕首堡,建筑,匕痕
Dagger River,匕首河,地點,紐梅利亞
"Dagger, punching",拳刃,武器,
Daggermark,匕痕,城市,河域諸國
Dagon,大袞,神祇,惡魔領主
Dagon’s Fang,大袞之牙,地點,卡蒂亞
Dahak,達哈克,神祇,龙族神
Dahak’s Teeth,達哈克之牙,地點,鐐銬島
Dahdria Lieklan,達德里亞·列克蘭,人物,地獄復仇AP#103
Dahnakrist Phi,達納克瑞斯特·菲,人物,陽穹議會的首席發言人
Daidian Ruel,戴迪安‧魯埃爾,人物,第一位地獄騎士
Daissiad,戴西亞德,怪物,阿修羅魔尊
Daiye Atteran,黛伊·阿特倫,,
Dalaston,達拉斯頓,城市,塔爾多
Dallem the Lucky,幸運的朵萊姆,異界盟友,密拉妮
Dalun,達倫,地點,伊利森雷霆河上的港口城市
Damage,傷害,術語,
Damage Reduction,傷害減免,術語,通用怪物能力
damage rolls,傷害骰,術語,
Damaq,逹馬克,人物,家族姓氏
Dammartorp,達馬托普,地點,伊利森
Dancing,舞空,武器附魔,
Dancing Hut,跳舞小屋,神器,
Dancing Lights,舞光術,法術,CRB
Dancing Weapons,舞空武器,領域能力,
Daneya,達涅亞,人物,AP#108
danger,危險,術語,城市屬性
Danver River,丹沃河,地點,烏斯塔拉夫
Danvrey Piluxo,丹佛瑞·皮卢索,人物,AP#105
Daralathyxl,達拉萊西科索,人物,紅龍
Darchana,妲查娜,人物,艾巴薩羅姆第二法術領主；奧祕館館長
Darchana Madinani,妲查娜·瑪蒂娜妮,人物,艾巴薩羅姆第二法術領主；奧祕館館長
Darcyne Wrens,達辛·雷恩,人物,刑架騎士團執棒官
Darellus Fex,達雷勒斯·費克斯,人物,地獄復仇AP#103
Dario Wincheen,達里奧·溫欽,人物,AP#104
Dark,異幕子域,術語,牧師領域
Dark Archive,密文會,組織,PFS勢力
dark druid Eloiander of Ridwan,瑞德旺的黑暗德魯伊艾羅安德,人物,
Dark Elf,黯精靈,種族,
Dark Folk,暗民,術語,生物亞種 逃到地下幽暗之地的阿兹兰特人后裔
Dark Folk,暗民语,語言,
Dark life ring,黑暗生命戒指,物品,S10-16原創
Dark Prince,黑暗大君,稱號,阿斯莫迪爾斯
Dark Slayer,幽暗屠戮者,怪物,B2
Dark Smith,黑鐵匠,稱號,卓斯卡的稱號(帶The)
dark stalker,幽暗潛行者,,
Dark Tapestry,黑暗帷幕,位面,
Dark Tapestry,異幕子域,術語,牧師領域
DarkBlight,黑枯病,疾病,銳齒森林
Darklands,幽暗之地,地區,
Darkmoon Plain,暗月平原,地點,安多安
Darkmoon Vale,暗月谷,城市,安多安
Darkmoon Wood,暗月森林,城市,安多安
Darkness,黑暗領域,術語,牧師領域
Darkness,黑暗術,法術,CRB
Darkness Domain,黑暗領域,術語,牧師領域
Darkreach,黑暗河谷,地點,芒吉莽原
Darkvision,黑暗視覺,術語,通用怪物能力
Darkwood,黑木,特殊材料,
Darl Jubannich,達爾·朱巴尼克,人物,詩人 發表了系列社論『論政府』（On Government）
Darlyne Kemmaino,達琳·凱瑪諾,人物,地獄復仇AP#103
Darrag Fabaravych,達拉格·法巴拉維奇,人物,
Dart,飛鏢,武器,CRB
"Darts, blowgun",吹針,武器,
Daruthrost,達盧斯洛斯特,地點,艾奧巴瑞亞
Dason,達森,人名,厄迦圖婭麾下的第一位不死騎士指揮官
daughter of Urgathoa,厄迦圖婭之女,怪物,
Dauphenal Vineyard,多芬納葡萄園,,
Davarn,達旺,城市,五王山脈
Dawn Piper,黎明笛手,怪物,
Dawnflower,晨花,稱號,塞恩蕾的稱號
Dawnfoot,多恩福特,城市,艾巴薩羅姆
Day,白晝子域,術語,牧師領域
Day of Bones,百骨節,節日,
Day of Silenced Whispers,默語禁聲日,節日,
Day of the Inheritor,後繼節,節日,
Day Subdomain,白晝子域,術語,牧師領域
Daybreak Arrow,破曉之箭,法術,UC
Daylight,晝明術,法術,CRB
days of the week,一周中的每一天,術語,
Daze,暈眩術,法術,CRB
Daze Monster,暈眩怪物,法術,CRB
dazed,暈眩,術語,狀態
Dazing Touch,暈眩之觸,領域能力,
Dazing Touch,暈眩之觸,職業能力,
dazzled,目眩,術語,狀態
Dazzling Display,炫目技巧,專長,CRB
Dead Laws,死亡律法,,
Dead Magic,死魔法,術語,位面特性專用詞彙
Dead Vault,死墓,位面,
Deadbridge,死橋鎮,城市,河域諸國
Deadeye’s Gulch,獵手谷,地點,摩爾蘇恩
Deadeye’s Haunt,獵手墓場,地點,原獵手谷；摩爾蘇恩
Deadly Aim,致命瞄準,專長,CRB
Deadly Performance,奪命表演,職業能力,
Deadly Stroke,致命絕殺,專長,CRB
Deafening Critical,致聾重擊,專長,CRB
Dealer,毒贩,怪物,GMG怪物
Death,死亡領域,術語,牧師領域
Death,死亡,術語,描述符
Death Domain,死亡領域,術語,牧師領域
Death effect,死亡效果,術語,
death knell,死亡喪鐘,法術,CRB
Death Roll,死亡翻滾,怪物能力,
Death Ward,防死結界,法術,CRB
Death’s Embrace,死亡擁抱,領域能力,
Death’s Gift,死亡贈禮,職業能力,
Deathblade,死刃夜露,物品,毒藥
Deathless Frost,不死冰霜,稱號,科什迪克提凱的稱號(帶The)
deathsweb,死亡之網,,
Deathwatch,觀命術,法術,CRB
Deathweb,死亡之網,怪物,B3
debased fey,劣化精怪,術語,怪物模板
debris,岩屑,術語,
decadent art,頹廢藝術,術語,城市屬性
decanters of endless water,無盡水源,物品,UE
Decay,腐朽子域,術語,牧師領域
Decay Subdomain,腐朽子域,術語,牧師領域
Deceitful,欺詐,專長,
Decemvirate,十人團,組織,探索者協會
Deception,欺瞞子域,術語,牧師領域
Deception Subdomain,欺瞞子域,術語,牧師領域
Decimated,屠殺者,組織,
Deck of Many Things,萬象無常牌組,物品,次級神器
Deep,深淵,地點,水元素位面的別名(帶The)
deep bog,深沼,術語,CRB
Deep lagoon,深礁湖,地點,【梅迪奧伽爾提島】
Deep Slumber,深度睡眠,法術,CRB
Deep Tolguth,地底托古斯,城市,猛獁象大王之國
Deepcut River,深切河,地點,涅瑪薩斯
Deeper Darkness,深幽黑暗術,法術,CRB
Deepgate,深門,城市,貝爾克澤恩
Deepmar,深穢島,地點,切利亞斯
Deeprun Crevasse,深流裂隙,地點,瓦玆達邊區
Deeptreasure Mining Company,深寶礦業公司,組織,
Defend,護衛,術語,動物技巧
Defender of Galt,伽爾特的保護者,稱號,
Defender of Kortos,寇托斯的守護者,稱號,吉爾·基克斯的稱號
Defending,護身,武器附魔,
Defense,防禦,術語,
Defense,防禦子域,術語,牧師領域
Defense Subdomain,防禦子域,術語,牧師領域
Defensive Combat Training,防禦式戰鬥訓練,專長,CRB
Defensive Roll,防禦翻滾,職業能力,
Defensive Training,防禦訓練,种族特性,
Deflect Arrows,撥擋飛箭,專長,CRB
Deflection,偏斜,術語,
Deflective Shield,偏斜護盾,怪物能力,
defoliant,除草劑,物品,煉金物品
Deft Hands,妙手,專長,CRB
Degan Flocks,德根·弗洛克斯,人物,地獄復仇AP#103
Dehrukani,德魯卡尼,國家,伽倫德
Deinonychus,恐爪龍,動物,B1
Deinos Fallagon,迪諾斯·法拉根,人物,AP#106，伯爵
deity tables,神祇列表,術語,
Dekarium,戴克瑞姆,城市,切利亞斯
Delaeris Iovengio,德拉里斯·伊文吉奧,,
delay,延遲,術語,
delay poison,延緩毒發,法術,CRB
Delayed Blast Fireball,延遲爆裂火球,法術,CRB
Deliver Touch Spells,傳遞接觸法術,職業能力,
Delmon’s Glen,戴爾蒙幽谷,地點,林諾姆諸王國
Delvehaven,探究避難所,地點,切利亞斯的舊探索者協會分部
Delvingulf,戴爾文灣,城市,幽暗之地
Demagogue,喧主,稱號,鏈魔的稱號
Demand,短訊暗示,法術,CRB
Demarchy Assembly,德瑪奇議會,組織,安多安政府組織，最高民選官的顧問團
Demgazi,戴姆加吉,城市,塔爾多
Demibaron,次等男爵,稱號,切利亞斯貴族稱號
Demibaroness,次等女男爵,稱號,切利亞斯貴族稱號
Demibaroness Helia Belunne,次等女男爵赫莉亞·貝魯恩,人物,艾格利安
Demigod,半神,術語,次等神祇
Demiplane,半位面,位面,
Demodand,魔孽,術語,生物亞種
Demographics,人口統計,術語,城市屬性
Demon,惡魔,術語,異界生物、生物亞種；惡魔子域
Demon Hunter,惡魔獵手,術語,專長
demon lord,惡魔領主,信仰,惡魔中最強大的霸主
Demon Queen,惡魔女皇,稱號,拉瑪什圖的稱號
Demon Resistances,惡魔抗性,職業能力,
Demon Subdomain,惡魔子域,術語,牧師領域
"Demon, Omox",泥魔,怪物,B2
"Demon, Schir",希爾魔,怪物,B3
"Demon, vrock",鷲魔,怪物,B1
Demoniac,惡魔狂信者,職業,進階職業
Demoniac,惡魔狂信者,進階職業,
Demonic Might,惡魔之力,職業能力,
Demoralize,挫敗士氣,術語,威嚇技能術語
Den of Vice,《淫窯》,物品,關於南方奴隸貿易的安多安記實錄
Denebrum,戴因布魯姆,地點,幽暗之地
Denira Mettering,德尼拉·米特林,人物,摩爾蘇恩
denizens of Leng,冷原之民,怪物,B2
Denton Gramel,丹頓·格萊美爾,人物,地獄復仇AP#103
Deprava Gate,德普拉瓦門,地點,
Derilus Jaddene,德里盧斯·賈德尼,人物,AP#104
Derro,迪洛人,術語,怪物、生物亞種
Dervish Dance,狂舞,術語,專長
Descent,降臨,術語,奈多的一種選拔儀式
Description,描述,術語,
descriptive text,詳細說明,術語,法術描述
Descriptor,描述符,術語,
desecrate,褻瀆術,法術,CRB
Desert,沙漠,術語,怪物棲息地類型
Desert Dweller,沙漠居民,術語,專長
Deskari,德斯卡利,神祇,惡魔領主
Desna,黛絲娜,神祇,核心神
Desnus,黛絲娜斯月,時間,五月
Desolation Cape,孤寂海角,地點,芒吉莽原
Despair’s Altar,絕望祭壇,地點,西冠城
Desperate Battler,絕命鬥士,術語,專長
Desperation Bay,絕望海灣,地點,芒吉莽原
Dess Leroung,德斯·勒榮,人物,科瓦薩
Destach River,戴斯塔克河,地點,烏斯塔拉夫
Destined,命運血統,職業能力,
Destiny Realized,天命所歸,職業能力,
Destruction,毀滅領域,術語,牧師領域
Destruction,灰飛煙滅,法術,CRB
Destruction Domain,毀滅領域,術語,牧師領域
Destructive Aura,毀滅靈光,領域能力,
Destructive Smite,毀滅打擊,領域能力,
Detect Alignment,偵測陣營,法術,CRB
Detect Animals or Plants,偵測動植物,法術,CRB
Detect Chaos,偵測混亂,法術,CRB
Detect Evil,偵測邪惡,職業能力,
Detect Evil,偵測邪惡,法術,CRB
Detect Good,偵測善良,職業能力,
Detect Good,偵測善良,法術,CRB
Detect Law,偵測守序,法術,CRB
detect magic,偵測魔法,術語,法術
Detect Poison,偵測毒性,法術,CRB
Detect Scrying,偵測探知,法術,CRB
Detect Secret Doors,偵測暗門,法術,CRB
Detect Snares and Pits,偵測陷阱,法術,CRB
Detect Thoughts,偵測思想,法術,CRB
Detect Undead,偵測死靈,法術,CRB
Detmer,德特瑪,城市,杜魯瑪教權國
devastating blast,毀滅衝擊,術語,怪物能力
Devil,魔鬼,術語,怪物；生物亞種
"Devil, Bearded",倒鉤魔,怪物,同Barbazu
"Devil, Impostor",魔鬼冒充者,變體,召喚師
Devil in Gray,灰衣魔鬼,怪物,遊蕩于烏斯塔拉夫的冬狼
Devil Nuns,魔鬼修女,稱號,黃金欲魔姊妹會的成員
Devil Subdomain,魔鬼子域,術語,牧師領域
"Devil, Barbed",尖刺魔,怪物,B1 魔鬼 同Hamatula
"Devil, Bone",骨魔,怪物,B1
"Devil, Cabal",陰謀魔,怪物,AP#28 同尤尼拉魔
"Devil, Contract",契約魔,怪物,B3
"Devil, Drowning",溺亡魔,怪物,B4
"Devil, Erinyes",欲魔,怪物,B1
"Devil, Handmaiden",僕魔,怪物,B2
"Devil, Heresy",異端魔,怪物,B5 同Ayngavhaul
"Devil, horned",角魔,怪物,B1
"Devil, Host",群舞魔,怪物,B4
"Devil, Ice",冰魔,怪物,B1 同Gelugon
"Devil, Imp",小魔鬼,怪物,B1
"Devil, Mnemor",記憶魔,,
"Devil, Tinder Devil (Ukobach)",火絨魔,怪物,AP#25 魔鬼
"Devil, Warmonger",好戰魔,怪物,B5
Devil’s Arches,魔鬼拱橋,地點,鐐銬島
Devil’s Claw,魔爪,組織,切利亞斯傭兵組織，成員為地獄騎士的落選者
Devil’s Cradle,魔鬼搖籃,地點,薩迦瓦
Devil’s Dance,魔鬼之舞,地點,艾格利安
Devil’s Elbow,魔鬼之肘,地點,瓦瑞西亞
Devil’s Perch,魔鬼座山,城市,切利亞斯
Devilbound Creature,魔契生物,怪物,B4
Devilpin,魔釘,遊戲,切利亞斯投飛鏢遊戲
Devils’ Own,魔鬼團,組織,阿羅納克斯·艾迪米恩的手下
Devilslayer Troop,魔鬼殺手部隊,怪物,AP#108
Devotion,忠誠,職業能力,
Devourer,囚魂屍,怪物,B1
Dex,敏捷,術語,規則中的縮寫
Dexterity,敏捷,術語,屬性值
Dexterity modifier,敏捷調整值,術語,
Dhaenflow,達恩流,地點,西冠城
Dhampir,吸血裔,術語,生物亞種
Diabolical Charmer,魔鬼魅惑師,怪物,NPC志
Diabolism,魔鬼主義,理念,阿斯摩蒂斯的哲学
diabolist,魔鬼主義者,稱號,遵從魔鬼主義的人
Diagonal,斜向,術語,
Diamond Body,金剛體,職業能力,
Diamond Soul,金剛魂,職業能力,
Diamond Sultanates,寶鑽蘇丹國,,
Diaspora,戴厄斯波拉,行星,失落者
Dice End,骰子窯,地點,艾格利安
Dictum,律言,法術,CRB
Diehard,頑強,專長,CRB
Difficult Terrain,困難地形,術語,
difficulty class,難度等級,術語,簡稱DC
Diggen’s Rest,迪根之棲,城市,安多安
DiLavos,迪拉沃斯,人物,荊棘騎士團執棒官
Dilettante,法術愛好者,怪物,NPC志
Dilman “Dilly” Fortmile,迪爾曼「迪力」福特麥爾,人物,地獄復仇AP#103
dim light,昏暗,術語,
Dimari-Diji,迪瑪利-帝吉,人物,長者世界的最后古樹（Final Tree of the Elder World）
Dimayen,迪瑪耶,城市,卡蒂亞農業社區
dimension,次元維度,術語,
dimension door,任意門,法術,CRB
Dimension of Dreams,夢境次元,位面,帶
Dimension of Time,時間次元,位面,帶
Dimensional Anchor,次元錨,法術,CRB
Dimensional Grenade,次元手雷,裝備,
Dimensional Hop,次元躍步,領域能力,
Dimensional Lock,次元鎖,法術,CRB
Dimensional Steps,次元步,職業能力,
Diminish Plants,植物凋零,法術,CRB
Diminutive,微型,術語,體型
Dinosaur,恐龍,動物,CRB
Dinosaur Graveyard,恐龍墓園,地點,梅迪奧伽爾提島
Diobel,迪歐貝,城市,艾巴薩羅姆
Diplomacy,交涉,術語,技能
diplomat,外交官,怪物,NPC志
Dippelmere swamp,迪波梅爾沼澤,地點,勒匹德斯塔德特以北
Diravae the Gold Drinker,「飲金者」迪拉韋,人物,地獄復仇AP#103
dire bat,兇暴蝙蝠,怪物,B1
dire bear,兇暴熊,怪物,B1
Dire Flail,雙頭鏈枷,武器,CRB
dire rat,兇暴鼠,怪物,B1
Dirge of doom,末日喪歌,職業能力,
Dirge of the Victorious Knights,勝利騎士的挽歌,術語,法術
Dirt Sea,泥海,地點,貝爾克澤恩
dirty trick,陰招,術語,戰技
Dis,迪斯,位面,地獄第二層
Disable Device,解除裝置,術語,技能
disabled,癱瘓,術語,狀態
Disadvantages,劣勢,術語,城市屬性
disarm,卸武,術語,戰技
Disbelief,不相信,術語,法術描述
Discern,感知位置,法術,CRB
Discern Lies,辨識謊言,法術,CRB
Discern Location,感知位置,法術,CRB
Discharge,釋放,術語,
discharged,釋放,術語,
Disciple Of The Sword,劍術拔群,專長,ISG
Discordant Feedback,不協反饋,術語,怪物能力
Discordant Field,不和諧領域,怪物能力,
Disease,疾病,術語,法術描述符/怪物通用能力
Disguise,易容,術語,技能
Disguise Self,易容術,法術,CRB
Disintegrate,解離術,法術,CRB
Dismiss,解消,術語,
Dismissal,驅逐術,法術,CRB
Dispater,迪斯帕特,神祇,大魔鬼
Dispel Chaos,反制混亂,法術,CRB
Dispel Evil,反制邪惡,法術,CRB
Dispel Good,反制善良,法術,CRB
Dispel Law,反制守序,法術,CRB
dispel magic,解除魔法,法術,CRB
"Dispel Magic, Greater",高等解除魔法,法術,CRB
Dispelling Attack,驅散攻擊,職業能力,
Dispelling Touch,解法之觸,領域能力,
Displacement,移位術,法術,CRB
Display of Strength,力量顯現,術語,通用怪物能力（神話）
Disrupt Undead,瓦解死靈,法術,CRB
Disrupting Weapon,瓦解武器,法術,CRB
Disruption,瓦解,武器附魔,
Disruptive,擾法者,專長,CRB
Distant Worlds,《遥远世界》,書名,玩家伴侶系列
Distraction,擾亂心神,術語,通用怪物能力
Distraction,清心,職業能力,
Div,妖靈,術語,生物亞種
Divination,預言系,術語,
Divination,預言術,法術,CRB
Divination School,預言學派,職業能力,
Divination spells,預言系法術,術語,
Divine,神術子域,術語,牧師領域
Divine bond,神契,職業能力,
Divine Favor,神恩,法術,CRB
Divine Focus,法器,術語,法術的施放成分；縮寫 DF
Divine Focus Component,法器成分,術語,法術的施放成分；縮寫 DF
Divine Grace,神恩,職業能力,
Divine Guardian,神聖守衛,怪物,B4
Divine Health,神佑,職業能力,
Divine Insult,神聖羞辱,職業能力,
Divine Power,神能,法術,CRB
Divine Presence,煌煌神威,領域能力,
divine source,神力之源,術語,su
Divine Spell,神術,術語,
Divine Subdomain,神術子域,術語,牧師領域
divine swiftness,神速,能力,怪物能力
Divinely Morphic,神力可塑,術語,位面特性專用詞彙
Diviner,預言師,術語,專精預言學派的法師
Diviner’s Fortune,探知機運,職業能力,
Djinni,風巨靈,怪物,
Djurstor Confederacy,迪亞斯特聯邦,國家,林諾姆諸王國，被芭芭·雅伽征服變為伊利森
Dobrova,多布洛瓦,地點,
Docks,碼頭區,地點,
Doctor Gerya Rohalendi,傑亞·羅哈倫迪醫生,人物,地獄復仇AP#103
Dodge,閃避,術語,專長
Dog,犬,動物,CRB
Doga-Delloth,多加-德洛斯,城市,幽暗之地
Doge of Andoran,安多安的總督,稱號,
Dogslicer,屠狗刃,物品,武器
Dokeran,多克蘭,城市,芒吉莽原
Domain,領域,術語,牧師職業能力
Domain Spell,領域法術,術語,
Domani Surtova,多瑪尼·索托瓦,人物,諾萊斯基·索托瓦的叔叔
Domina Arabasti,多米娜·阿拉巴斯提,人物,科瓦薩女王
Dominate Animal,支配動物,法術,CRB
Dominate Monster,支配怪物,法術,CRB
Dominate Person,支配人類,法術,CRB
Dominicus Rell,多米尼克斯·雷爾,人物,獅子劍領袖
Dominita Clara,多米妮塔·克拉拉,人物,神爪騎士團副執書官
Domovoi,爐火精,怪物,
Donara Gedraedius,多娜拉·格德雷迪烏斯,人物,AP#105
Dongun Hold,頓加堡,城市,阿肯斯塔；矮人的天空堡壘
